Sample:	Th17 count	Th17 % of CD4	Th17 TBET+ count	Th17 TBET+ % of Th17	Th17 TBET+ % of CD4
R1_T1_BC1.fcs	1770	4.01	564	31.9	1.28
R1_T1_BC2.fcs	1640	3.78	517	31.5	1.19
R1_T1_BC3.fcs	596	3.21	155	26.0	0.83
R1_T1_BC4.fcs	1169	3.83	370	31.7	1.21
R1_T1_BC9.fcs	144	3.89	89.0	61.8	2.40
R1_T1_BC10.fcs	147	3.93	92.0	62.6	2.46
R1_T1_BC11.fcs	2122	7.44	780	36.8	2.74
R1_T1_BC12.fcs	2169	7.22	683	31.5	2.27
R1_T1_BC13.fcs	591	3.54	162	27.4	0.97
R1_T1_BC14.fcs	1264	2.89	304	24.1	0.70
R1_T2_BC3.fcs	2004	4.89	646	32.2	1.57
R1_T2_BC4.fcs	3826	5.80	1382	36.1	2.10
R1_T2_BC5.fcs	1325	7.37	310	23.4	1.72
R1_T2_BC6.fcs	2954	6.79	813	27.5	1.87
R1_T2_BC7.fcs	948	11.4	383	40.4	4.59
R1_T2_BC8.fcs	1404	9.60	509	36.3	3.48
R1_T2_BC9.fcs	716	2.94	100	14.0	0.41
R1_T2_BC10.fcs	1897	6.87	637	33.6	2.31
R1_T2_BC11.fcs	3039	7.61	1070	35.2	2.68
R1_T2_BC12.fcs	8344	7.34	2992	35.9	2.63
R1_T3_BC3.fcs	1043	9.34	531	50.9	4.75
R1_T3_BC4.fcs	4547	15.1	2070	45.5	6.89
R1_T3_BC7.fcs	1042	6.47	430	41.3	2.67
R1_T3_BC8.fcs	2012	8.18	909	45.2	3.69
R1_T3_BC9.fcs	1446	6.55	683	47.2	3.09
R1_T3_BC10.fcs	1460	6.57	689	47.2	3.10
R1_T3_BC11.fcs	2266	5.89	996	44.0	2.59
R1_T3_BC13.fcs	519	10.3	208	40.1	4.11
R1_T3_BC14.fcs	3140	9.98	1444	46.0	4.59
R1_T3_BC15.fcs	2145	7.34	835	38.9	2.86
R1_T4_BC3.fcs	7378	11.0	2664	36.1	3.97
R1_T4_BC4.fcs	9988	11.0	3881	38.9	4.29
R1_T4_BC5.fcs	1494	10.1	640	42.8	4.31
R1_T4_BC6.fcs	102	13.2	41.0	40.2	5.31
R1_T4_BC7.fcs	2467	8.54	789	32.0	2.73
R1_T4_BC8.fcs	1499	8.48	481	32.1	2.72
R1_T4_BC9.fcs	732	14.2	377	51.5	7.31
R1_T4_BC10.fcs	736	14.2	379	51.5	7.30
R1_T4_BC13.fcs	2606	12.5	1122	43.1	5.36
R1_T4_BC14.fcs	3808	13.1	1532	40.2	5.27
R1_T4_BC15.fcs	3268	18.5	1710	52.3	9.70
R2_T1_BC1.fcs	323	3.67	94.0	29.1	1.07
R2_T1_BC2.fcs	45.0	3.19	14.0	31.1	0.99
R2_T1_BC5.fcs	1263	4.87	368	29.1	1.42
R2_T1_BC6.fcs	990	4.48	339	34.2	1.53
R2_T1_BC7.fcs	511	2.51	175	34.2	0.86
R2_T1_BC8.fcs	378	4.54	159	42.1	1.91
