Sample:	Th1 count	Th1 % of CD4	Th2 count	Th2 % of CD4
R1_T1_BC1.fcs	971	2.20	4631	10.5
R1_T1_BC2.fcs	739	1.70	4758	11.0
R1_T1_BC3.fcs	348	1.87	1515	8.16
R1_T1_BC4.fcs	459	1.50	3442	11.3
R1_T1_BC9.fcs	90.0	2.43	263	7.10
R1_T1_BC10.fcs	92.0	2.46	268	7.17
R1_T1_BC11.fcs	607	2.13	7379	25.9
R1_T1_BC12.fcs	545	1.81	7306	24.3
R1_T1_BC13.fcs	315	1.89	1818	10.9
R1_T1_BC14.fcs	689	1.58	4366	9.99
R1_T2_BC3.fcs	1256	3.06	5456	13.3
R1_T2_BC4.fcs	1915	2.90	9130	13.8
R1_T2_BC5.fcs	369	2.05	1274	7.09
R1_T2_BC6.fcs	880	2.02	3938	9.05
R1_T2_BC7.fcs	369	4.42	1729	20.7
R1_T2_BC8.fcs	397	2.71	3269	22.3
R1_T2_BC9.fcs	407	1.67	3371	13.8
R1_T2_BC10.fcs	953	3.45	6584	23.8
R1_T2_BC11.fcs	928	2.33	7098	17.8
R1_T2_BC12.fcs	2812	2.47	25469	22.4
R1_T3_BC3.fcs	356	3.19	2289	20.5
R1_T3_BC4.fcs	696	2.32	9460	31.5
R1_T3_BC7.fcs	620	3.85	2784	17.3
R1_T3_BC8.fcs	699	2.84	5142	20.9
R1_T3_BC9.fcs	693	3.14	5465	24.8
R1_T3_BC10.fcs	702	3.16	5503	24.8
R1_T3_BC11.fcs	1456	3.78	9257	24.1
R1_T3_BC13.fcs	194	3.83	1114	22.0
R1_T3_BC14.fcs	888	2.82	7501	23.9
R1_T3_BC15.fcs	737	2.52	6394	21.9
R1_T4_BC3.fcs	5408	8.05	13665	20.3
R1_T4_BC4.fcs	7282	8.05	18986	21.0
R1_T4_BC5.fcs	1040	7.00	4520	30.4
R1_T4_BC6.fcs	50.0	6.48	252	32.6
R1_T4_BC7.fcs	2299	7.96	6739	23.3
R1_T4_BC8.fcs	1265	7.15	4161	23.5
R1_T4_BC9.fcs	384	7.45	1959	38.0
R1_T4_BC10.fcs	386	7.44	1970	38.0
R1_T4_BC13.fcs	2148	10.3	5416	25.9
R1_T4_BC14.fcs	2611	8.98	7319	25.2
R1_T4_BC15.fcs	1232	6.99	5356	30.4
R2_T1_BC1.fcs	330	3.75	1279	14.5
R2_T1_BC2.fcs	47.0	3.33	131	9.28
R2_T1_BC5.fcs	473	1.82	3456	13.3
R2_T1_BC6.fcs	439	1.99	3114	14.1
R2_T1_BC7.fcs	484	2.38	2109	10.4
R2_T1_BC8.fcs	204	2.45	1094	13.2
R2_T1_BC9.fcs	506	2.08	5485	22.5
R2_T1_BC10.fcs	254	2.43	2382	22.8
R2_T1_BC11.fcs	273	2.60	2700	25.7
R2_T1_BC12.fcs	489	2.87	4493	26.4
R2_T1_BC13.fcs	56.0	2.39	396	16.9
R2_T1_BC14.fcs	8.00	1.11	128	17.7
R2_T1_BC17.fcs	379	2.21	2685	15.7
R2_T1_BC18.fcs	472	2.42	3594	18.4
R2_T1_BC19.fcs	152	2.47	1236	20.1
R2_T1_BC20.fcs	318	2.43	2678	20.4
R2_T1_BC21.fcs	422	1.55	4105	15.1
R2_T1_BC22.fcs	245	1.44	3561	21.0
R2_T1_BC23.fcs	241	1.79	2294	17.0
R2_T1_BC24.fcs	494	2.29	3031	14.0
R2_T1_BC27.fcs	560	1.33	5879	14.0
R2_T1_BC28.fcs	553	1.62	4577	13.4
R2_T1_BC29.fcs	363	1.12	3067	9.48
R2_T1_BC30.fcs	441	1.23	5480	15.3
R2_T1_BC33.fcs	419	2.08	5370	26.6
R2_T1_BC34.fcs	208	2.65	2135	27.2
R2_T1_BC35.fcs	660	2.45	6063	22.5
