Sample:	T cells/CD4+/CD127- CD25+/Treg (CD127- CD25+ FOXP3+) | Count	T cells/CD4+/CD127- CD25+/Treg (CD127- CD25+ FOXP3+) | Freq. of CD4+
R1_T1_BC1.fcs	587	1.33
R1_T1_BC2.fcs	783	1.81
R1_T1_BC3.fcs	217	1.17
R1_T1_BC4.fcs	922	3.02
R1_T1_BC9.fcs	47.0	1.27
R1_T1_BC10.fcs	48.0	1.28
R1_T1_BC11.fcs	1174	4.12
R1_T1_BC12.fcs	1489	4.96
R1_T1_BC13.fcs	350	2.10
R1_T1_BC14.fcs	1045	2.39
R1_T2_BC3.fcs	632	1.54
R1_T2_BC4.fcs	1452	2.20
R1_T2_BC5.fcs	153	0.85
R1_T2_BC6.fcs	746	1.71
R1_T2_BC7.fcs	447	5.36
R1_T2_BC8.fcs	957	6.54
R1_T2_BC9.fcs	1212	4.98
R1_T2_BC10.fcs	1479	5.35
R1_T2_BC11.fcs	1804	4.52
R1_T2_BC12.fcs	5231	4.60
R1_T3_BC3.fcs	298	2.67
R1_T3_BC4.fcs	2616	8.71
R1_T3_BC7.fcs	540	3.36
R1_T3_BC8.fcs	1042	4.24
R1_T3_BC9.fcs	1012	4.58
R1_T3_BC10.fcs	1026	4.62
R1_T3_BC11.fcs	1509	3.92
R1_T3_BC13.fcs	125	2.47
R1_T3_BC14.fcs	977	3.11
R1_T3_BC15.fcs	565	1.93
R1_T4_BC3.fcs	1166	1.74
R1_T4_BC4.fcs	2560	2.83
R1_T4_BC5.fcs	1105	7.44
R1_T4_BC6.fcs	68.0	8.81
R1_T4_BC7.fcs	1001	3.46
R1_T4_BC8.fcs	790	4.47
R1_T4_BC9.fcs	180	3.49
R1_T4_BC10.fcs	182	3.51
R1_T4_BC13.fcs	466	2.23
R1_T4_BC14.fcs	1241	4.27
R1_T4_BC15.fcs	786	4.46
R2_T1_BC1.fcs	263	2.99
R2_T1_BC2.fcs	32.0	2.27
R2_T1_BC5.fcs	858	3.31
R2_T1_BC6.fcs	1031	4.67
R2_T1_BC7.fcs	363	1.79
R2_T1_BC8.fcs	162	1.95
R2_T1_BC9.fcs	787	3.23
R2_T1_BC10.fcs	373	3.56
R2_T1_BC11.fcs	472	4.49
R2_T1_BC12.fcs	830	4.88
R2_T1_BC13.fcs	104	4.44
R2_T1_BC14.fcs	45.0	6.22
R2_T1_BC17.fcs	542	3.17
R2_T1_BC18.fcs	649	3.33
R2_T1_BC19.fcs	320	5.20
R2_T1_BC20.fcs	645	4.92
R2_T1_BC21.fcs	1375	5.05
R2_T1_BC22.fcs	821	4.83
R2_T1_BC23.fcs	568	4.22
R2_T1_BC24.fcs	967	4.48
R2_T1_BC27.fcs	1473	3.50
R2_T1_BC28.fcs	1296	3.81
R2_T1_BC29.fcs	974	3.01
R2_T1_BC30.fcs	1965	5.49
R2_T1_BC33.fcs	891	4.42
R2_T1_BC34.fcs	361	4.59
R2_T1_BC35.fcs	1249	4.63
R2_T2_BC3.fcs	746	4.06
R2_T2_BC4.fcs	337	3.94
R2_T2_BC7.fcs	1543	8.38
R2_T2_BC8.fcs	1159	5.78
R2_T2_BC11.fcs	465	2.85
R2_T2_BC12.fcs	441	3.39
R2_T2_BC15.fcs	467	3.11
R2_T2_BC16.fcs	423	4.07
R2_T2_BC21.fcs	1091	3.35
R2_T2_BC22.fcs	1515	8.40
R2_T2_BC25.fcs	1380	4.04
R2_T2_BC26.fcs	1087	5.07
R2_T2_BC27.fcs	240	6.72
R2_T2_BC28.fcs	452	6.59
R2_T2_BC31.fcs	513	3.73
R2_T2_BC32.fcs	452	4.23
R2_T2_BC33.fcs	336	4.60
R2_T2_BC34.fcs	961	4.82
R2_T2_BC35.fcs	15.0	2.23
R2_T3_BC3.fcs	316	2.62
R2_T3_BC4.fcs	643	3.65
R2_T3_BC5.fcs	423	3.67
R2_T3_BC6.fcs	210	2.64
R2_T3_BC9.fcs	812	4.37
R2_T3_BC13.fcs	1192	5.86
R2_T3_BC16.fcs	733	3.60
R2_T3_BC18.fcs	496	6.81
